Country,total,Aspergillus flavus species complex,Aspergillus fumigatus,Aspergillus nidulans species complex,Aspergillus niger species complex,Aspergillus terreus species complex,Aspergillus ustus species complex,Aspergillus versicolor species complex,Candida albicans,Candida auris,Candida dubliniensis,Candida fabianii,Candida fermentati,Candida glabrata,Candida guilliermondii,Candida haemulonii,Candida inconspicua,Candida kefyr,Candida krusei,Candida lipolytica,Candida lusitaniae,Candida metapsilosis,Candida nivariensis,Candida orthopsilosis,Candida parapsilosis,Candida pelliculosa,Candida tropicalis,Cryptococcus gattii species complex,Cryptococcus neoformans,Exophiala dermatitidis,Fusarium oxysporum species complex,Fusarium solani species complex,Geotrichum clavatum,Gibberella fujikuroi species complex,Lomentospora prolificans,Magnusiomyces capitatus,Paecilomyces lilacinus,Paecilomyces variotii,Rasamsonia argillacea species complex,Rhizopus microsporus group,Rhizopus oryzae species complex,Rhodotorula mucilaginosa,Saccharomyces cerevisiae,Sarocladium kiliense,Scedosporium apiospermum / Scedosporium boydii,Scedosporium aurantiacum,Trichosporon asahii
USA,5594,50,429,9,73,29,7,5,1856,5,182,NA,23,1214,27,5,2,27,150,7,110,19,4,28,680,5,365,1,129,6,5,20,NA,11,5,NA,5,4,3,12,7,18,21,1,22,NA,13
Singapore,169,NA,1,NA,NA,1,NA,NA,61,NA,3,NA,NA,46,NA,3,NA,NA,2,NA,NA,NA,1,4,12,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Taiwan,94,NA,1,NA,1,NA,NA,NA,48,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,13,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK,236,NA,18,NA,1,NA,NA,NA,97,NA,6,NA,NA,46,2,NA,NA,NA,8,NA,9,1,NA,NA,29,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA
Argentina,301,NA,NA,NA,1,NA,NA,NA,133,NA,4,NA,NA,22,5,NA,NA,NA,9,NA,3,2,1,1,65,1,44,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3
Chile,379,NA,NA,NA,NA,NA,NA,NA,159,NA,7,NA,3,37,1,NA,NA,NA,13,NA,23,NA,NA,2,85,5,28,NA,6,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA
Costa Rica,28,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,30,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,1,1,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,49,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,10,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Greece,174,NA,NA,NA,NA,NA,NA,NA,44,7,1,NA,NA,23,NA,NA,NA,3,2,NA,NA,1,NA,NA,66,1,13,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7
Hong Kong,24,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,326,NA,NA,NA,NA,NA,NA,NA,112,NA,5,NA,NA,90,1,NA,NA,4,11,NA,1,NA,NA,1,47,1,45,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Mexico,595,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,2,2,51,1,NA,1,1,7,NA,25,1,NA,3,99,NA,120,4,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Panama,43,NA,NA,NA,NA,NA,NA,NA,12,6,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,129,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,4,2,1,NA,NA,1,1,NA,NA,NA,7,16,NA,43,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Portugal,268,NA,NA,NA,NA,NA,NA,NA,123,NA,1,NA,NA,35,3,NA,NA,3,7,NA,2,2,NA,NA,31,NA,15,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Russia,24,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotland,58,NA,NA,NA,NA,NA,NA,NA,28,NA,2,NA,NA,16,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
South Africa,18,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,8,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,6,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
