WHO_region,total,Aspergillus flavus species complex,Aspergillus fumigatus,Aspergillus nidulans species complex,Aspergillus niger species complex,Aspergillus terreus species complex,Aspergillus ustus species complex,Aspergillus versicolor species complex,Candida albicans,Candida auris,Candida dubliniensis,Candida fabianii,Candida fermentati,Candida glabrata,Candida guilliermondii,Candida haemulonii,Candida inconspicua,Candida kefyr,Candida krusei,Candida lipolytica,Candida lusitaniae,Candida metapsilosis,Candida nivariensis,Candida orthopsilosis,Candida parapsilosis,Candida pelliculosa,Candida tropicalis,Cryptococcus gattii species complex,Cryptococcus neoformans,Exophiala dermatitidis,Fusarium oxysporum species complex,Fusarium solani species complex,Geotrichum clavatum,Gibberella fujikuroi species complex,Lomentospora prolificans,Magnusiomyces capitatus,Paecilomyces lilacinus,Paecilomyces variotii,Rasamsonia argillacea species complex,Rhizopus microsporus group,Rhizopus oryzae species complex,Rhodotorula mucilaginosa,Saccharomyces cerevisiae,Sarocladium kiliense,Scedosporium apiospermum / Scedosporium boydii,Scedosporium aurantiacum,Trichosporon asahii
Americas,8304,82,640,22,92,35,10,8,2814,12,224,2,29,1473,43,5,4,32,206,8,168,25,5,59,1082,13,680,8,293,8,5,35,1,15,5,4,6,5,3,14,9,22,25,18,28,NA,27
Europe,9656,104,806,19,100,36,4,2,4088,7,133,16,9,1424,49,3,16,103,260,5,120,17,1,40,1301,13,643,NA,109,5,5,9,27,16,3,14,3,5,10,14,5,16,36,2,17,3,38
South-East Asia,388,23,41,NA,13,8,NA,NA,94,NA,4,NA,NA,30,1,1,NA,NA,1,1,NA,1,1,7,23,NA,83,NA,45,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,4
Western Pacific,2989,27,182,12,42,15,2,3,1157,NA,42,5,2,467,24,6,NA,11,50,1,30,14,3,23,378,20,344,8,47,2,2,2,1,NA,14,NA,2,1,2,2,3,2,11,NA,11,10,9
Africa,18,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
